,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
4500,49507.66110511555,37275.13251008183,-92716.06418085864,-40040.04329920332,-33436.44391732739,-16359.018249394689,-8704.77511939706,-32232.71307143129,-187500.02235174447,-187500.02235174447,187500.0,-42143.02952802533,-187500.02235174447,-16839.424292972602,-54485.0593191456,-24254.347295087256
4501,49569.26251283437,37351.75429007463,-92708.0846080881,-40042.345528882215,-33430.20778062437,-16347.171824833373,-8698.181354782744,-32244.00070238122,-187500.02235174447,-187500.02235174447,187500.0,-42146.76226934937,-187500.02235174447,-16839.826624372796,-54493.843554716535,-24204.860532863204
4502,49515.95360230847,37301.9546034282,-92713.40432326846,-40027.05693567478,-33423.1893328654,-16319.9026965979,-8677.260121972577,-32218.43030672435,-187500.02235174447,-187500.02235174447,187500.0,-42134.20058896549,-187500.02235174447,-16822.19109799756,-54490.848420959526,-24248.0217514064
4503,49584.17112638606,37370.619162394905,-92686.17989852188,-40023.25713911738,-33414.136876361,-16307.855106336488,-8674.175581237743,-32210.87541709845,-187500.02235174447,-187500.02235174447,187500.0,-42125.77398130584,-187500.02235174447,-16820.157089252127,-54494.37999658346,-24196.27746299237
4504,49520.62511689962,37321.69119378224,-92698.71922716132,-40020.21730187146,-33415.142704861486,-16311.006702304689,-8661.613900853861,-32205.13101877344,-187500.02235174447,-187500.02235174447,187500.0,-42103.690457784,-187500.02235174447,-16801.985121009962,-54490.5131447927,-24245.339542071768
4505,49551.06819284776,37348.24506619514,-92683.92237233192,-40021.75957223887,-33416.886140929004,-16311.99017906072,-8670.599302124894,-32198.04551578111,-187500.02235174447,-187500.02235174447,187500.0,-42109.14428343109,-187500.02235174447,-16835.445682459555,-54504.70650252182,-24210.090841065747
4506,49497.60282011066,37324.194589161234,-92707.0340760987,-40012.48359828992,-33414.27098682773,-16311.386681960426,-8656.383592651318,-32203.521693172657,-187500.02235174447,-187500.02235174447,187500.0,-42094.68270476851,-187500.02235174447,-16823.576906153787,-54502.18075539837,-24269.2782603834
4507,49539.53469270882,37357.07400525499,-92677.68623562888,-40011.857749445175,-33412.639309482496,-16310.202039504296,-8667.447706156696,-32183.27101269615,-187500.02235174447,-187500.02235174447,187500.0,-42100.65062053807,-187500.02235174447,-16843.402903485647,-54509.020389201694,-24232.59904773224
4508,49520.75922736636,37352.9165807863,-92684.01177930972,-40003.76641795235,-33408.347774547074,-16304.99408304621,-8652.181464693722,-32192.70344885629,-187500.02235174447,-187500.02235174447,187500.0,-42086.05493140876,-187500.02235174447,-16809.495307146946,-54501.68901702035,-24270.127626672704
4509,49526.6377361581,37332.9117694988,-92648.49485737024,-40009.28729883281,-33416.57321650663,-16314.94060932882,-8660.76453456456,-32157.678265294824,-187500.02235174447,-187500.02235174447,187500.0,-42097.00728619186,-187500.02235174447,-16830.70711263503,-54507.50047057873,-24221.98196911597
4510,49511.32679120622,37338.43265037926,-92673.14883150446,-40012.193025612,-33410.80646643716,-16320.506193698193,-8655.869502528847,-32184.81328306357,-187500.02235174447,-187500.02235174447,187500.0,-42086.45726280895,-187500.02235174447,-16818.927743307086,-54506.04760718914,-24254.056722409336
4511,49514.41133194105,37315.83503673495,-92653.50164812824,-40025.000575184895,-33412.10286761557,-16338.767568918178,-8670.688709102717,-32152.31384662555,-187500.02235174447,-187500.02235174447,187500.0,-42096.96258270295,-187500.02235174447,-16858.24446180397,-54506.5169938227,-24223.524239483388
4512,49522.77088436734,37341.91952251429,-92686.44811945537,-40040.646796303605,-33405.41969602343,-16341.89681314192,-8669.794639324504,-32188.45661740978,-187500.02235174447,-187500.02235174447,187500.0,-42082.36689357364,-187500.02235174447,-16849.884909377684,-54506.06995893359,-24258.437664322577
4513,49496.44052939898,37279.75932118408,-92671.6736163704,-40054.86250577719,-33411.56642574864,-16353.162092347397,-8681.596360396905,-32151.24096289169,-187500.02235174447,-187500.02235174447,187500.0,-42090.21235587745,-187500.02235174447,-16879.232749847502,-54509.445072346345,-24252.46974855301
4514,49532.113913549656,37342.791240548046,-92698.45100622786,-40048.000520229405,-33392.83566389509,-16329.178670546851,-8659.602243852883,-32185.237966208217,-187500.02235174447,-187500.02235174447,187500.0,-42073.04621613577,-187500.02235174447,-16857.37274377021,-54504.52768856617,-24275.96143197554
4515,49500.84382305668,37295.02556264705,-92673.84173558257,-40052.22499993146,-33402.1339895885,-16313.264228494672,-8666.106601489379,-32134.320692339028,-187500.02235174447,-187500.02235174447,187500.0,-42077.51656502683,-187500.02235174447,-16858.400924015157,-54499.54324955264,-24270.21703365052
4516,49526.45892220246,37360.02443552309,-92705.51415747571,-40057.231790689446,-33393.528567973204,-16285.168085714353,-8653.723735061138,-32182.28753594012,-187500.02235174447,-187500.02235174447,187500.0,-42068.933495156,-187500.02235174447,-16824.180403254082,-54507.00873220072,-24277.637812809684
4517,49483.58827633719,37274.48430949263,-92699.54624170616,-40069.525250139865,-33414.76272520575,-16279.93777751181,-8665.48075264463,-32143.194334887787,-187500.02235174447,-187500.02235174447,187500.0,-42082.2327831069,-187500.02235174447,-16840.161900539624,-54520.46448236281,-24288.076077470312
4518,49541.47929447643,37347.68627258376,-92723.2837943177,-40068.45236640601,-33406.35846929055,-16253.428608587816,-8658.127028718833,-32190.200053477296,-187500.02235174447,-187500.02235174447,187500.0,-42080.399940061565,-187500.02235174447,-16832.38349346918,-54533.204976702335,-24282.734010545497
4519,49477.19567742296,37254.61360867186,-92718.41111402644,-40076.07431126527,-33418.40605955196,-16255.909652222355,-8658.775229308038,-32148.55875355706,-187500.02235174447,-187500.02235174447,187500.0,-42089.31828609923,-187500.02235174447,-16848.074418076805,-54531.41683714591,-24298.871970042223
