,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
5000,31841.19991555213,35068.52359396501,-43938.45575314233,26611.53991359948,-24532.157126922262,-23603.978586671183,-24669.687410555773,-19414.45701294625,-187500.02235174447,-187500.02235174447,-187500.02235174447,-19167.581995437384,-187500.02235174447,-187500.02235174447,-40525.85846493941,-31155.090767752023
5001,31862.188203595662,34788.65740164011,-43918.71916278829,26714.872028216367,-24497.534274761,-23555.207080269705,-24634.148136871838,-19372.70395430374,-187500.02235174447,-187500.02235174447,-187500.02235174447,-19123.03496873796,-187500.02235174447,-187500.02235174447,-40486.11706329788,-31208.08675385556
5002,31855.21445932561,35107.303870594966,-43975.96198033834,26708.837057213437,-24547.356313151875,-23585.985432384663,-24709.69703313077,-19424.336483995496,-187500.02235174447,-187500.02235174447,-187500.02235174447,-19145.56552714891,-187500.02235174447,-187500.02235174447,-40512.91680489979,-31157.41534917538
5003,31858.34370354935,34802.15785529112,-43927.72691580378,26774.43942718976,-24503.4351352972,-23522.305312431494,-24682.718477573217,-19379.83416078498,-187500.02235174447,-187500.02235174447,-187500.02235174447,-19124.80075654993,-187500.02235174447,-187500.02235174447,-40491.97322034517,-31226.45988779782
5004,31848.77715692248,35106.47685605012,-43966.73070987829,26768.82913933148,-24551.42433064274,-23552.59192616844,-24735.51329797665,-19422.280123505607,-187500.02235174447,-187500.02235174447,-187500.02235174447,-19135.663704355207,-187500.02235174447,-187500.02235174447,-40498.0081913481,-31170.871099337477
5005,31851.079386601377,34797.75456163342,-43911.29838362913,26813.84555266447,-24497.24370208308,-23493.31509987296,-24707.12658251841,-19376.59315783896,-187500.02235174447,-187500.02235174447,-187500.02235174447,-19120.19629719213,-187500.02235174447,-187500.02235174447,-40483.23368826314,-31244.22952463979
5006,31854.186279080663,35101.000678658565,-43958.61702664102,26808.54818922856,-24556.81110105647,-23553.217775013185,-24750.243097572697,-19440.72031268124,-187500.02235174447,-187500.02235174447,-187500.02235174447,-19125.247791439037,-187500.02235174447,-187500.02235174447,-40491.79440638953,-31182.91868959888
5007,31853.20280232463,34819.14518107715,-43904.6599155259,26828.68711098279,-24495.209693337645,-23481.200454378184,-24734.015731098145,-19378.26953867311,-187500.02235174447,-187500.02235174447,-187500.02235174447,-19141.765730591505,-187500.02235174447,-187500.02235174447,-40501.27154603857,-31255.628914312
5008,31865.67507573069,35085.980306384605,-43946.07769800159,26840.377073332915,-24553.10071147689,-23525.94864677771,-24746.197431826287,-19423.42006247283,-187500.02235174447,-187500.02235174447,-187500.02235174447,-19135.753111333022,-187500.02235174447,-187500.02235174447,-40487.01113307609,-31181.97991633176
5009,31848.039549355457,34828.06352711481,-43901.485967813256,26869.859024269463,-24504.306853330952,-23463.94490765869,-24732.02642584162,-19373.955651993238,-187500.02235174447,-187500.02235174447,-187500.02235174447,-19148.717123117105,-187500.02235174447,-187500.02235174447,-40501.07038033848,-31238.35101584805
5010,31872.11237813382,35062.8238991289,-43955.04074752817,26878.57620460704,-24572.367915197363,-23520.248951941605,-24738.106100333465,-19426.839879374493,-187500.02235174447,-187500.02235174447,-187500.02235174447,-19149.27591672849,-187500.02235174447,-187500.02235174447,-40494.45426397971,-31184.59507043303
5011,31847.480755744076,34868.16255666764,-43915.52286333119,26858.929021230822,-24522.545876806485,-23465.531881515013,-24737.86023114446,-19381.197617196754,-187500.02235174447,-187500.02235174447,-187500.02235174447,-19196.0804696179,-187500.02235174447,-187500.02235174447,-40534.575645276986,-31250.04097819817
5012,31883.22119512811,35019.39445965224,-43952.47029691581,26872.898861515387,-24580.48159843464,-23511.040033226014,-24727.62313218393,-19422.45893746125,-187500.02235174447,-187500.02235174447,-187500.02235174447,-19166.419704725708,-187500.02235174447,-187500.02235174447,-40511.32983104346,-31201.60474796352
5013,31848.285418544463,34912.01667928895,-43919.12149418849,26818.025328877608,-24533.27471414503,-23463.319058813937,-24733.85926888696,-19376.146122949856,-187500.02235174447,-187500.02235174447,-187500.02235174447,-19212.77722272601,-187500.02235174447,-187500.02235174447,-40562.91765724631,-31230.818477966604
