,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
3750,-23.82695958935733,-30.040744547932693,-20.608308387793112,-29.124323025265102,-27.738514869036063,-24.318697967374085,-27.805570102401987,-18.90957580918977,-21.61413688828193,-28.54317766942712,-21.68119212164785,-24.74338111202492,-23.78225610044672,-26.486817179538868,-25.324526467862903,-26.71033462409194
3751,-23.7375526115361,-29.97368931456677,-20.608308387793112,-29.07961953635449,-27.91732882467852,-24.29634622291878,-27.872625335767907,-18.70841010909201,-21.61413688828193,-28.54317766942712,-21.68119212164785,-24.74338111202492,-23.78225610044672,-26.486817179538868,-25.324526467862903,-26.71033462409194
3752,-23.7375526115361,-30.107799781298613,-20.72006711006965,-29.034916047443875,-27.91732882467852,-24.11753226727632,-27.805570102401987,-18.6637066201814,-21.48002642155009,-28.40906720269528,-21.860006077290308,-24.78808460093553,-23.82695958935733,-26.576224157360095,-25.212767745586365,-26.8891485797344
3753,-23.7375526115361,-29.97368931456677,-20.541253154427192,-29.057267791899186,-27.78321835794668,-24.27399447846347,-27.939680569133827,-18.88722406473447,-21.48002642155009,-28.40906720269528,-21.860006077290308,-24.78808460093553,-23.82695958935733,-26.576224157360095,-25.212767745586365,-26.8891485797344
3754,-23.804607844902023,-29.794875358924315,-20.47419792106127,-29.057267791899186,-27.939680569133827,-24.25164273400816,-27.805570102401987,-18.93192755364508,-21.48002642155009,-28.40906720269528,-21.860006077290308,-24.78808460093553,-23.82695958935733,-26.576224157360095,-25.212767745586365,-26.8891485797344
3755,-23.75990435599141,-29.90663408120085,-20.742418854524956,-28.96786081407795,-27.894977080223214,-24.49751192301654,-27.64910789121484,-18.59665138681548,-21.68119212164785,-28.364363713784662,-21.792950843924388,-24.85513983430145,-23.82695958935733,-26.39741020171764,-25.36922995677352,-26.486817179538868
3756,-23.78225610044672,-30.085448036843307,-20.58595664333781,-28.990212558533266,-27.78321835794668,-24.206939245097548,-27.805570102401987,-18.93192755364508,-21.524729910460703,-28.23025324705282,-21.68119212164785,-24.765732856480227,-23.78225610044672,-26.55387241290479,-25.48098867905005,-26.55387241290479
3757,-23.82695958935733,-29.90663408120085,-20.675363621159036,-29.14667476972041,-27.872625335767907,-24.139884011731628,-27.8502735913126,-18.753113598002624,-21.54708165491601,-28.54317766942712,-21.927061310656228,-24.765732856480227,-23.84931133381264,-26.486817179538868,-25.391581701228823,-26.82209334636848
3758,-23.804607844902023,-29.951337570111463,-20.65301187670373,-28.96786081407795,-27.96203231358913,-24.206939245097548,-27.760866613491373,-18.95427929810039,-21.591785143826623,-28.25260499150813,-21.725895610558464,-24.966898556577988,-23.69284912262549,-26.55387241290479,-25.34687821231821,-26.64327939072602
3759,-23.53638691143834,-30.018392803477383,-20.69771536561434,-29.280785236452253,-28.00673580249975,-24.341049711829392,-27.71616312458076,-19.04368627592162,-21.502378166005396,-28.431418947150583,-21.725895610558464,-24.74338111202492,-23.84931133381264,-26.55387241290479,-25.05630553439922,-26.598575901815405
3760,-23.625793889259565,-30.107799781298613,-20.675363621159036,-29.057267791899186,-27.62675614675953,-24.139884011731628,-27.872625335767907,-18.84252057582385,-21.39061944372886,-28.38671545823997,-21.74824735501377,-24.81043634539084,-23.715200867080792,-26.531520668449485,-25.235119490041672,-26.75503811300256
3761,-23.804607844902023,-30.28661373694107,-20.51890140997188,-28.923157325167335,-27.805570102401987,-24.385753200740005,-27.805570102401987,-18.6637066201814,-21.502378166005396,-28.297308480418742,-21.90470956620092,-24.87749157875676,-23.938718311633863,-26.46446543508356,-25.324526467862903,-26.64327939072602
