,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
5250,27443.33773175928,42386.596487354815,-47279.79568002173,8077.227542069858,-27757.29033437852,-27324.627616957143,-29596.794199561384,-19080.54430252842,-187500.02235174447,-187500.02235174447,-187500.02235174447,-13466.255481988846,-187500.02235174447,-187500.02235174447,-44778.74723419514,-33890.60901291478
5251,27392.28634742336,42564.18109705224,-47304.226136711375,8029.573622891144,-27767.996819972614,-27331.243733315918,-29643.86697338426,-19092.79305848993,-187500.02235174447,-187500.02235174447,-187500.02235174447,-13514.088215123204,-187500.02235174447,-187500.02235174447,-44828.12223769692,-33885.08813203432
5252,27420.583655903774,42373.252495915,-47280.48858409984,8095.623027756575,-27749.891906963818,-27313.049413329296,-29591.42978089211,-19062.28292730843,-187500.02235174447,-187500.02235174447,-187500.02235174447,-13481.544075196276,-187500.02235174447,-187500.02235174447,-44784.55868775352,-33891.748951882
5253,27392.152236956623,42567.35504476488,-47315.84904382814,8083.866010173084,-27776.44577937672,-27334.7529571954,-29645.163374562668,-19086.40045957571,-187500.02235174447,-187500.02235174447,-187500.02235174447,-13531.880203709628,-187500.02235174447,-187500.02235174447,-44826.02117371812,-33880.19309999861
5254,27421.92476057109,42343.30115834489,-47286.90353475852,8188.71804341293,-27746.717959251164,-27309.271968516347,-29601.44336240809,-19050.972944614048,-187500.02235174447,-187500.02235174447,-187500.02235174447,-13510.355473799167,-187500.02235174447,-187500.02235174447,-44793.11940587991,-33900.309670008384
5255,27396.019088747395,42595.11591137837,-47332.970480080905,8227.364209576155,-27788.850997549416,-27347.739320723933,-29662.01658988197,-19089.574407288364,-187500.02235174447,-187500.02235174447,-187500.02235174447,-13545.805340505283,-187500.02235174447,-187500.02235174447,-44821.59552831597,-33868.167861481656
5256,27413.18522848907,42336.26035884146,-47287.52938360327,8341.916899909604,-27744.03574991653,-27301.87354110164,-29622.47635394053,-19046.10026432279,-187500.02235174447,-187500.02235174447,-187500.02235174447,-13533.266011865857,-187500.02235174447,-187500.02235174447,-44795.57809776999,-33900.577890941844
5257,27409.65365286513,42598.491024791125,-47334.84802661515,8422.00320029297,-27795.087134252448,-27345.81707070077,-29669.32561031885,-19097.285759125443,-187500.02235174447,-187500.02235174447,-187500.02235174447,-13560.266919167869,-187500.02235174447,-187500.02235174447,-44803.66942926281,-33859.0930532328
5258,27426.99860656245,42344.70931824557,-47282.67905505646,8548.223501232089,-27748.573154040954,-27290.764724107357,-29632.19936277859,-19050.838834147315,-187500.02235174447,-187500.02235174447,-187500.02235174447,-13549.336916129225,-187500.02235174447,-187500.02235174447,-44790.37014131191,-33897.001611829
5259,27427.088013540277,42598.44632130222,-47329.058924801226,8639.150397676278,-27803.022003534083,-27345.9064776786,-29669.05738938539,-19104.2595033955,-187500.02235174447,-187500.02235174447,-187500.02235174447,-13542.787855003817,-187500.02235174447,-187500.02235174447,-44793.7229029802,-33849.81707928384
