,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
3500,39228.40675454221,40862.00634980277,-51486.39398651052,-46828.49160772462,-51198.99525630418,-48964.71488055168,3297.396397280264,-86913.70778247212,-187500.02235174447,-187500.02235174447,187500.0,-48696.98568546602,-187500.02235174447,-16951.339477460322,-62447.10832203726,-5473.517533960049
3501,39045.994168042445,40692.088388453536,-51575.15276374254,-46863.00270116362,-51181.20326771776,-48950.76739201157,3269.83669636687,-86884.78462514695,-187500.02235174447,-187500.02235174447,187500.0,-48697.65623779968,-187500.02235174447,-16898.432898334613,-62441.52038592344,-5464.867408855845
3502,39231.91597842169,40827.83053253061,-51488.584457467136,-46828.424552491255,-51194.0331690351,-48962.59146482843,3200.389826344231,-86796.29406884838,-187500.02235174447,-187500.02235174447,187500.0,-48693.92349647564,-187500.02235174447,-16967.812713123883,-62439.62048764474,-5465.269740256041
3503,39042.149667996135,40679.99609470321,-51576.33740619868,-46866.266055854096,-51176.48704963768,-48946.81113324298,3158.145029323701,-86771.03659761389,-187500.02235174447,-187500.02235174447,187500.0,-48698.3938453667,-187500.02235174447,-16899.72929951302,-62435.887746320695,-5453.1327430168085
3504,39235.73812672355,40840.36986117004,-51498.64274247202,-46824.91532861177,-51194.16727950183,-48962.18913342823,3080.830345252793,-86681.51786107039,-187500.02235174447,-187500.02235174447,187500.0,-48692.73885401951,-187500.02235174447,-16995.595931481832,-62434.32312420883,-5463.056917554965
3505,39059.49462169345,40702.414894391884,-51572.33644394117,-46864.83554420895,-51177.71639558273,-48948.30870012149,3028.9519463720258,-86655.29926482431,-187500.02235174447,-187500.02235174447,187500.0,-48697.1421476772,-187500.02235174447,-16882.026717904417,-62440.089874278296,-5443.074458011921
3506,39236.52043777948,40840.52632338123,-51513.10432113461,-46828.98334610264,-51188.333474199,-48962.904389250805,2967.1270212086465,-86574.67652257401,-187500.02235174447,-187500.02235174447,187500.0,-48688.26850512845,-187500.02235174447,-17004.827201941873,-62431.70797010756,-5470.924731603233
3507,39064.50141245144,40700.47029262428,-51578.59493238866,-46869.127079144375,-51171.45790713524,-48946.72172626516,2920.5236340193314,-86551.98950195187,-187500.02235174447,-187500.02235174447,187500.0,-48694.83991799831,-187500.02235174447,-16878.785714958398,-62438.16762425514,-5447.36599294734
3508,39222.59530098383,40831.45151513237,-51527.27532711927,-46836.22531130616,-51189.96515154424,-48965.54189509653,2840.191464446958,-86478.63107664956,-187500.02235174447,-187500.02235174447,187500.0,-48692.15770866367,-187500.02235174447,-17024.340274851354,-62436.42418818762,-5493.030606869532
3509,39084.66268595013,40724.18549349136,-51570.369490429104,-46870.714053000695,-51178.543410127575,-48948.53221756604,2783.4403852749333,-86450.62434084706,-187500.02235174447,-187500.02235174447,187500.0,-48698.97499072254,-187500.02235174447,-16882.92078768263,-62450.95282208358,-5463.325138488429
3510,39217.47675150356,40797.52156704922,-51544.016783716295,-46835.26418629458,-51195.35192195796,-48963.01614797308,2710.1043117170707,-86378.22704055632,-187500.02235174447,-187500.02235174447,187500.0,-48695.421063354144,-187500.02235174447,-17042.020504715503,-62438.4358451886,-5500.294923817507
3511,39120.73840150099,40724.29725221363,-51565.74267932686,-46870.155259389314,-51184.31016019704,-48957.36115662589,2655.968386646317,-86338.48563891479,-187500.02235174447,-187500.02235174447,187500.0,-48700.45020585659,-187500.02235174447,-16886.76528772894,-62454.21617677405,-5457.848961096878
